Michael Wheeler:POK_lOv, POK_wDe, POK_ZYd:Derrota:Event_8/1/4:si
Casey Floyd:POK_VTy, POK_Urd, POK_cPZ:Victoria:Event_2/0/8:no
Kathleen Richardson:POK_pIo, POK_pam, POK_jNh:Derrota:Event_3/6/9:si
Shannon Robles:POK_tMz, POK_bfy, POK_zEc:Derrota:Event_5/4/1:no
Jennifer Thompson:POK_bvK, POK_ZhJ, POK_iyT:Victoria:Event_0/4/8:no
Joseph Murray:POK_goe, POK_eaJ, POK_yXo:Victoria:Event_2/3/8:no
Terry Wallace:POK_OMJ, POK_yvG, POK_IUK:Derrota:Event_2/2/1:no
Marie Wood:POK_HRW, POK_KkW, POK_buk:Derrota:Event_0/3/2:si
Elizabeth Martinez:POK_yib, POK_apW, POK_QmN:Victoria:Event_5/5/1:si
Amber Stevenson:POK_awK, POK_HnV, POK_Zos:Victoria:Event_7/4/4:no
Charles Davis:POK_CBw, POK_scY, POK_sxd:Derrota:Event_2/6/9:si
Jennifer Mckay:POK_nMz, POK_GYw, POK_vSA:Derrota:Event_1/8/8:si
Shannon White:POK_bIu, POK_Hjm, POK_tRz:Derrota:Event_8/9/4:si
Eric Peterson:POK_iRv, POK_GMS, POK_tvO:Derrota:Event_1/0/0:no
Sara Miller:POK_dLe, POK_Aay, POK_DWO:Victoria:Event_0/4/2:si
Alejandro Smith:POK_xdv, POK_eto, POK_AJM:Victoria:Event_1/6/1:si
Raymond Ellis:POK_ibV, POK_rCu, POK_JUk:Victoria:Event_0/0/2:si
Mary Smith:POK_xgc, POK_uUO, POK_cFR:Derrota:Event_2/7/4:no
Carlos Griffith:POK_hvl, POK_zbr, POK_sfM:Derrota:Event_6/2/5:no
Jessica Villegas:POK_pqg, POK_ilW, POK_zeB:Derrota:Event_8/0/0:si
John Spencer:POK_fLS, POK_emY, POK_rhJ:Derrota:Event_3/6/1:si
John Salazar:POK_ReX, POK_NXO, POK_HpR:Derrota:Event_8/5/3:no
Jennifer Spencer:POK_huA, POK_rMl, POK_PMQ:Victoria:Event_8/7/9:si
Elizabeth Wright:POK_kXV, POK_JxX, POK_vZQ:Derrota:Event_2/7/8:si
Joanne Wells:POK_bys, POK_yYu, POK_NEm:Victoria:Event_0/7/8:no
Raymond Martinez:POK_BSf, POK_ZwB, POK_PMS:Derrota:Event_5/8/0:no
Daniel Reed:POK_nUq, POK_pxU, POK_nVV:Victoria:Event_7/8/7:no
Amy Meadows:POK_MkL, POK_eLP, POK_JBu:Victoria:Event_9/4/9:si
Matthew Weiss:POK_lWu, POK_Bsg, POK_Bwb:Derrota:Event_8/6/5:si
John Rasmussen:POK_XZq, POK_iML, POK_gmz:Derrota:Event_2/5/5:si
Shannon Henry:POK_Vwk, POK_BWB, POK_yVk:Victoria:Event_7/7/3:si
Vincent Madden:POK_GRE, POK_wqV, POK_wtY:Derrota:Event_4/1/1:no
Patricia Johnson:POK_xGc, POK_KbQ, POK_zql:Derrota:Event_9/6/1:si
Anthony Gaines:POK_WcZ, POK_jFR, POK_FYx:Derrota:Event_9/1/3:no
Robert Shelton:POK_BhB, POK_IdD, POK_vQn:Victoria:Event_1/6/4:no
Caitlin Gonzalez:POK_ZGx, POK_hbW, POK_dZq:Derrota:Event_3/4/8:no
Nathan Fisher:POK_QKk, POK_tfp, POK_nPl:Victoria:Event_0/2/8:no
Miguel Taylor:POK_apa, POK_hVE, POK_TxY:Victoria:Event_2/6/1:no
Brenda Wallace:POK_jjT, POK_nKX, POK_YCI:Victoria:Event_1/4/9:si
Bradley Werner:POK_enQ, POK_BZQ, POK_LJd:Victoria:Event_3/7/9:si
Danielle Little:POK_yeS, POK_qeq, POK_ZtW:Derrota:Event_9/0/5:si
David Carroll:POK_KyT, POK_AdX, POK_IGu:Derrota:Event_3/2/8:no
Alice Garcia:POK_fkg, POK_cOA, POK_fjb:Victoria:Event_9/3/8:no
Tony Brown:POK_yKN, POK_Opp, POK_ZDj:Derrota:Event_2/7/6:no
Bobby Holland:POK_lda, POK_kvX, POK_SWv:Victoria:Event_9/1/8:no
Jesse Stuart:POK_egu, POK_ZCf, POK_OFi:Derrota:Event_1/4/9:si
Diana Hernandez:POK_mBh, POK_DIm, POK_WcJ:Derrota:Event_9/8/4:si
John Browning:POK_AdW, POK_oFY, POK_voR:Derrota:Event_7/0/2:no
Carol Little:POK_iLQ, POK_cPc, POK_cbH:Derrota:Event_7/6/2:si
Jane Manning:POK_DKk, POK_dHo, POK_RHe:Victoria:Event_8/8/1:si
Laura Bullock:POK_TnR, POK_crX, POK_VrT:Derrota:Event_4/3/0:no
Martin Kim:POK_xwu, POK_UTe, POK_ZeN:Derrota:Event_2/4/6:si
Ashley Rose:POK_dVa, POK_Oze, POK_nla:Victoria:Event_3/5/4:no
Rhonda Alexander:POK_HYU, POK_AUI, POK_UwI:Derrota:Event_1/5/8:si
Andrea Mccarthy:POK_hKu, POK_AKl, POK_qRH:Derrota:Event_5/3/6:si
Stephanie Davis:POK_cdz, POK_FoJ, POK_Yqc:Derrota:Event_7/8/6:si
Cameron Jenkins:POK_nZR, POK_Hdo, POK_htw:Victoria:Event_2/4/2:no
John Campbell:POK_UrT, POK_Cjf, POK_zrI:Derrota:Event_5/3/9:no
Kimberly Baker:POK_mpH, POK_llH, POK_lLa:Victoria:Event_1/6/4:no
Amanda Pierce:POK_KoH, POK_IIs, POK_iQQ:Victoria:Event_6/9/0:si
